	SK01	SK02	SK04	SK05	SK06	SK07	SK08	SK09	SK10	SK11	SK12	SK13	SK14	SK15	SK16	SK17
SK01	0.0	0.720944520987007	0.6594505248198252	0.5601510250174914	2.240295538024095	2.2614285576484416	2.338941219526711	2.50627570276277	2.2540147861349795	2.629886923850662	2.816077481773695	2.766088121313501	3.098639935017703	3.166886755098833	1.6435900875491631	0.9744531699015968
SK02	0.720944520987007	0.0	0.0615933948420537	0.42456488541888987	2.5037876575307485	2.5548793061818973	2.6507299470335544	2.665559568409467	2.597341818642638	2.4498404167304586	2.531964777338757	2.4398955937562716	2.5378731261803726	2.664055025179462	1.4816886786309855	0.7517955012603352
SK04	0.6594505248198252	0.0615933948420537	0.0	0.3898416222463833	2.4722178874459617	2.521194163577902	2.6159464789525337	2.6426311654807786	2.560215743761487	2.455183170538965	2.547201814006353	2.4590281304401143	2.580795126912951	2.701207345932325	1.480858487250261	0.7444898906294011
SK05	0.5601510250174914	0.42456488541888987	0.3898416222463833	0.0	2.6737133068496	2.7096069893044654	2.797702127972718	2.8910142341991327	2.7302857129080067	2.7986969443462155	2.906244172908741	2.8273411079162405	2.9341003758309463	3.069217795058223	1.8271838290838818	1.0804663606037486
SK06	2.240295538024095	2.5037876575307485	2.4722178874459617	2.6737133068496	0.0	0.11351340258743492	0.219222533112173	0.4402488499322685	0.33163071466493627	1.5228545311621708	1.9412752913699478	2.048222440021	3.1084321264562917	2.908048420392462	1.4537619324051616	1.8311806584697368
SK07	2.2614285576484416	2.5548793061818973	2.521194163577902	2.7096069893044654	0.11351340258743492	0.0	0.11633111543728081	0.5275105894748497	0.23727924763285074	1.6357991353882468	2.0543523309454987	2.1617239622926148	3.218960534523505	3.020773560530821	1.546304989190182	1.8977508961174705
SK08	2.338941219526711	2.6507299470335544	2.6159464789525337	2.797702127972718	0.219222533112173	0.11633111543728081	0.0	0.5776910118518653	0.18006842772037204	1.7277245352436434	2.1491081342606138	2.2588480912698037	3.3269927937471047	3.123634880789322	1.6491736727518922	2.0008493406182573
SK09	2.50627570276277	2.665559568409467	2.6426311654807786	2.8910142341991327	0.4402488499322685	0.5275105894748497	0.5776910118518653	0.0	0.7049572010313334	1.2147184030916907	1.6413905612497133	1.7643405821740503	2.896367282852241	2.653434288794665	1.4110776878262021	1.9417819109993062
SK10	2.2540147861349795	2.597341818642638	2.560215743761487	2.7302857129080067	0.33163071466493627	0.23727924763285074	0.18006842772037204	0.7049572010313334	0.0	1.8293509353307122	2.249978476969907	2.3475674927486816	3.3993408393317197	3.204880139440758	1.6501136056964358	1.9698496533931968
SK11	2.629886923850662	2.4498404167304586	2.455183170538965	2.7986969443462155	1.5228545311621708	1.6357991353882468	1.7277245352436434	1.2147184030916907	1.8293509353307122	0.0	0.4283333579738902	0.5601799790386998	1.7312944269031818	1.4527771239641099	1.0826141960410811	1.731083459698817
SK12	2.816077481773695	2.531964777338757	2.547201814006353	2.906244172908741	1.9412752913699478	2.0543523309454987	2.1491081342606138	1.6413905612497133	2.249978476969907	0.4283333579738902	0.0	0.20717763417935287	1.3504871409285524	1.046716238115942	1.2841992426657693	1.869609904454501
SK13	2.766088121313501	2.4398955937562716	2.4590281304401143	2.8273411079162405	2.048222440021	2.1617239622926148	2.2588480912698037	1.7643405821740503	2.3475674927486816	0.5601799790386998	0.20717763417935287	0.0	1.19749645555992	0.8985528699543642	1.2322103112900658	1.8029389019933386
SK14	3.098639935017703	2.5378731261803726	2.580795126912951	2.9341003758309463	3.1084321264562917	3.218960534523505	3.3269927937471047	2.896367282852241	3.3993408393317197	1.7312944269031818	1.3504871409285524	1.19749645555992	0.0	0.3974922121049052	1.9626279148423078	2.191356138096206
SK15	3.166886755098833	2.664055025179462	2.701207345932325	3.069217795058223	2.908048420392462	3.020773560530821	3.123634880789322	2.653434288794665	3.204880139440758	1.4527771239641099	1.046716238115942	0.8985528699543642	0.3974922121049052	0.0	1.8554581813314304	2.2168777692435704
SK16	1.6435900875491631	1.4816886786309855	1.480858487250261	1.8271838290838818	1.4537619324051616	1.546304989190182	1.6491736727518922	1.4110776878262021	1.6501136056964358	1.0826141960410811	1.2841992426657693	1.2322103112900658	1.9626279148423078	1.8554581813314304	0.0	0.7574898760205044
SK17	0.9744531699015968	0.7517955012603352	0.7444898906294011	1.0804663606037486	1.8311806584697368	1.8977508961174705	2.0008493406182573	1.9417819109993062	1.9698496533931968	1.731083459698817	1.869609904454501	1.8029389019933386	2.191356138096206	2.2168777692435704	0.7574898760205044	0.0
