	S191127.3.0.c	S191127.3.1.c	S191127.3.2.c	S191127.4.0.c	S191127.4.1.c	S191127.4.2.c	S191127.5.0.c	S191127.5.1.c	S191127.5.2.c	S191127.5.3.c
S191127.3.0.c	0.0	3.268864705979527	2.2195322386614817	1.0918991989394495	1.653525052683107	1.6513350822539734	3.3630822080978136	1.382219713738306	2.8257948174566967	2.746348141713876
S191127.3.1.c	3.268864705979527	0.0	1.896493799579076	2.912886973227585	2.298783085965656	3.2396045397153053	2.873743521817139	2.242922799982977	1.770682898939623	1.1606730407055583
S191127.3.2.c	2.2195322386614817	1.896493799579076	0.0	2.5448930544174235	2.397488545362213	3.157489976361006	3.8784615396985926	2.072342708747871	2.821643391625161	2.2992136886379475
S191127.4.0.c	1.0918991989394495	2.912886973227585	2.5448930544174235	0.0	0.74947854058692	0.7607339153171688	2.370335609389506	0.6759950614000975	1.9602786415573996	2.071295540870007
S191127.4.1.c	1.653525052683107	2.298783085965656	2.397488545362213	0.74947854058692	0.0	0.9809142671557343	1.8038511543507596	0.40623191341724213	1.2192865284501795	1.3477054208269044
S191127.4.2.c	1.6513350822539734	3.2396045397153053	3.157489976361006	0.7607339153171688	0.9809142671557343	0.0	1.9533271397496297	1.1982716142871435	1.940612923102319	2.241225598017146
S191127.5.0.c	3.3630822080978136	2.873743521817139	3.8784615396985926	2.370335609389506	1.8038511543507596	1.9533271397496297	0.0	2.196527641135694	1.170687062026748	1.779110056326701
S191127.5.1.c	1.382219713738306	2.242922799982977	2.072342708747871	0.6759950614000975	0.40623191341724213	1.1982716142871435	2.196527641135694	0.0	1.4841822091728158	1.4574184096205878
S191127.5.2.c	2.8257948174566967	1.770682898939623	2.821643391625161	1.9602786415573996	1.2192865284501795	1.940612923102319	1.170687062026748	1.4841822091728158	0.0	0.629004889477941
S191127.5.3.c	2.746348141713876	1.1606730407055583	2.2992136886379475	2.071295540870007	1.3477054208269044	2.241225598017146	1.779110056326701	1.4574184096205878	0.629004889477941	0.0
